time,open,high,low,close,volume
2026-01-08 21:45:00,1.16598,1.1662599999999999,1.16583,1.16587,979
2026-01-08 22:00:00,1.16507,1.16597,1.16472,1.16593,211
2026-01-08 22:15:00,1.16592,1.16593,1.16567,1.16574,190
2026-01-08 22:30:00,1.16572,1.16588,1.16571,1.16578,204
2026-01-08 22:45:00,1.16579,1.1659,1.16578,1.16585,285
2026-01-08 23:00:00,1.16586,1.1662599999999999,1.16586,1.1659499999999998,1276
2026-01-08 23:15:00,1.16596,1.1660000000000001,1.16579,1.16582,611
2026-01-08 23:30:00,1.16585,1.16591,1.1657,1.1657199999999999,850
2026-01-08 23:45:00,1.16571,1.16581,1.16564,1.16581,759
2026-01-09 00:00:00,1.16583,1.16583,1.16546,1.1655,906
2026-01-09 00:15:00,1.16551,1.16577,1.16544,1.1656,1255
2026-01-09 00:30:00,1.16561,1.16562,1.16537,1.1655,1344
2026-01-09 00:45:00,1.16551,1.1656199999999999,1.16536,1.16536,1472
2026-01-09 01:00:00,1.16537,1.16547,1.16515,1.1653499999999999,1844
2026-01-09 01:15:00,1.16533,1.16574,1.16508,1.1651999999999998,1881
2026-01-09 01:30:00,1.16522,1.1653,1.16486,1.1649,1700
2026-01-09 01:45:00,1.16489,1.16522,1.16485,1.16492,1993
2026-01-09 02:00:00,1.1649200000000002,1.1650900000000002,1.1646,1.16463,1829
2026-01-09 02:15:00,1.16462,1.16507,1.1646,1.165,1688
2026-01-09 02:30:00,1.16501,1.16529,1.16496,1.16522,1906
2026-01-09 02:45:00,1.16524,1.16548,1.16518,1.16544,1867
2026-01-09 03:00:00,1.1654200000000001,1.1658600000000001,1.16538,1.16577,1410
2026-01-09 03:15:00,1.1657799999999998,1.1659199999999998,1.16559,1.1656799999999998,1234
2026-01-09 03:30:00,1.16566,1.16584,1.16549,1.16573,1134
2026-01-09 03:45:00,1.16572,1.16574,1.1655,1.16563,971
2026-01-09 04:00:00,1.16564,1.1657,1.16533,1.1653499999999999,1599
